financial_year,year_start,hh_metered_ml_d,hh_unmetered_ml_d,leakage_l_prop_d,leakage_ml_d,metered_occupancy_h_prop,metered_properties_000,metering_penetration,nhh_metered_ml_d,nhh_unmetered_ml_d,pcc_avg_lhd,pcc_metered_lhd,pcc_unmetered_lhd,population_000,total_properties_000,unmetered_occupancy_h_prop,climate_change_supply_impact_ml_d,deployable_output_ml_d,other_supply_change_ml_d,outage_allowance_ml_d,raw_treatment_losses_ml_d,sustainability_reduction_ml_d,distribution_input_ml_d,published_sdb_ml_d,target_headroom_ml_d,total_wafu_ml_d,wafu_own_sources_ml_d,wrz,household_consumption_ml_d,non_household_consumption_ml_d,customer_consumption_ml_d,residual_other_demand_ml_d,calculated_sdb_ml_d,sdb_reconciliation_error_ml_d,di_reconciliation_error_ml_d
2030-2031,2030,372.0926202666675,323.6948317264983,104.93872793181104,272.13,2.153343601810951,1442.3470776704698,0.5877483372212411,236.9956090730021,4.732947889698903,127.9795621005615,119.8,138.9,5530.480553714258,2593.2275468102634,2.5629832721584265,-27.5,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-90.0,1244.7047272771404,-232.3832625777033,180.83515194033902,1193.156616639776,1187.256616639776,Strategic Grid,695.7874519931659,241.728556962701,937.5160089558668,35.058718321273545,-232.3832625777033,0.0,0.0
2031-2032,2031,379.70128792050104,317.375859088901,104.20274707958525,272.13,2.149808460895751,1476.886854379155,0.5974439975154033,237.241984056231,4.732947889698903,127.54413412833364,119.6,138.6,5559.15289985498,2611.5434345714484,2.565157164452423,-28.0,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-90.0,1246.2407972766055,-233.6299448326909,180.04576419586152,1192.656616639776,1186.756616639776,Strategic Grid,697.0771470094021,241.97493194592988,939.052078955332,35.05871832127343,-233.6299448326909,0.0,0.0
2032-33,2032,387.1976018727971,311.1952989179038,103.47701713091735,272.13,2.146222012496541,1511.1128972667454,0.6068735803943206,236.8192093273845,4.732947889698903,127.12686360934582,119.4,138.3,5587.441930091958,2629.8593402214697,2.567192216313054,-28.5,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-90.0,1247.1337763290578,-238.9285794277248,183.95141973844306,1192.156616639776,1186.256616639776,Strategic Grid,698.3929007907009,241.5521572170834,939.9450580077843,35.058718321273545,-238.9285794277248,0.0,0.0
2033-34,2033,394.5652580864792,305.13826484368917,102.76132540474923,272.13,2.142455491172226,1545.0311982831308,0.6160451999505575,237.65395842938446,4.732947889698903,126.72922466031216,119.2,138.0,5615.021352979902,2648.175263681673,2.5689355573828236,-29.0,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-90.0,1249.2791475705253,-244.1278312952917,186.50530036454248,1191.656616639776,1185.756616639776,Strategic Grid,699.7035229301684,242.38690631908335,942.0904292492518,35.058718321273545,-244.1278312952917,0.0,0.0
2034-35,2034,401.8249390163605,299.2063311553167,102.05401069772057,272.13,2.1385771141132035,1578.68624609138,0.6249725776067047,237.81379440373263,4.732947889698903,126.34902258857744,119.0,137.7,5642.144137419895,2666.529204874044,2.5704654165716803,-29.5,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-90.0,1250.7667307863821,-251.05254563055468,191.4424314839486,1191.156616639776,1185.256616639776,Strategic Grid,701.0312701716772,242.54674229343152,943.5780124651087,35.05871832127343,-251.05254563055468,0.0,0.0
2035-36,2035,409.3655431428558,293.60075459375446,101.35636577303893,272.13,2.134600805429013,1612.0460719099717,0.6336574036039068,237.97023983361672,4.732947889698903,126.09267454612781,119.0,137.6,5668.770122290779,2684.883163721201,2.571803465333507,-30.0,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-95.0,1252.8582037811996,-223.55573274185653,156.35414560043304,1185.656616639776,1179.756616639776,Strategic Grid,702.9662977366103,242.7031877233156,945.6694854599259,35.05871832127366,-223.55573274185653,0.0,2.2737367544323206e-13
2036-37,2036,416.89178493818065,288.1480912486217,100.66798032311587,272.13,2.130819084866124,1645.1222790863978,0.6421078903473281,237.46415878709402,4.732947889698903,125.85709036635232,118.9,137.4,5695.681276558198,2703.2428695454037,2.573302475518977,-30.5,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-95.0,1254.4257011848688,-226.71838642001333,157.44930187492062,1185.156616639776,1179.256616639776,Strategic Grid,705.0398761868023,242.1971066767929,947.2369828635952,35.058718321273545,-226.71838642001333,0.0,0.0
2037-38,2037,424.3102475067257,282.79571352649924,99.98888181278575,272.13,2.127045986566612,1677.9150147717762,0.6503303957461941,238.29569833884835,4.732947889698903,125.62695358082087,118.9,137.3,5722.38963741862,2721.6025928715035,2.5747403384618375,-31.000000000000004,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-95.0,1257.3233255830457,-235.0376416838561,162.37093274058643,1184.656616639776,1178.756616639776,Strategic Grid,707.105961033225,243.02864622854725,950.1346072617722,35.058718321273545,-235.0376416838561,0.0,0.0
2038-39,2038,431.59263220416426,277.52741680797766,99.31888357022459,272.13,2.1231292634400867,1710.43010982442,0.6583319106389864,238.4944689972674,4.732947889698903,125.40315649629916,118.8,137.2,5748.495487253094,2739.962333623971,2.5759328827859482,-31.5,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-95.0,1259.5361842203815,-236.33024039812327,160.9506728175178,1184.156616639776,1178.256616639776,Strategic Grid,709.1200490121419,243.2274168869663,952.3474658991081,35.05871832127343,-236.33024039812327,0.0,0.0
2039-40,2039,438.8398488781844,272.3884832938458,98.65780389321036,272.13,2.1196475297244155,1742.6733664325736,0.6661192221766897,238.70249876126823,4.732947889698903,125.17715168145195,118.8,137.0,5775.547370309593,2758.3220917278904,2.5775828254286566,-32.0,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-95.0,1261.8524971442707,-244.5031460532373,166.30726554874263,1183.656616639776,1177.756616639776,Strategic Grid,711.2283321720302,243.43544665096712,954.6637788229973,35.05871832127343,-244.5031460532373,0.0,0.0
2040-41,2040,446.00275470022865,267.35111557253725,98.00546588484056,272.13,2.116266954113829,1774.6499168641117,0.673698677360376,238.26621402237083,4.732947889698903,124.95473009519561,118.8,136.9,5802.671492512479,2776.6818671089336,2.579286432670362,-32.5,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-95.0,1263.5417505061093,-214.13409032402208,133.74895645768882,1183.156616639776,1177.256616639776,Strategic Grid,713.3538702727659,242.99916191206972,956.3530321848357,35.05871832127366,-214.13409032402208,0.0,2.2737367544323206e-13
2041-42,2041,453.0834844689378,262.41279640527614,97.36169729572258,272.13,2.1129841479926124,1806.3655098642682,0.6810766830296371,239.1480341523839,4.732947889698903,124.73577771992944,118.7,136.7,5829.868079959539,2795.0416596933705,2.5810403573559633,-33.0,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-95.0,1266.5659812375702,-217.36714224272512,133.45777764493099,1182.656616639776,1176.756616639776,Strategic Grid,715.4962808742139,243.8809820420828,959.3772629162967,35.058718321273545,-217.36714224272512,0.0,0.0
2042-43,2042,460.1310052707583,257.5899264460259,96.72633037234371,272.13,2.109797632214636,1837.8252267204348,0.6882592230129547,239.3856957338394,4.732947889698903,124.53149284592456,118.7,136.6,5857.141890187303,2813.401469408047,2.582842818781873,-33.5,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-95.0,1269.0282936615959,-223.27928565790407,136.4076086360843,1182.156616639776,1176.256616639776,Strategic Grid,717.7209317167842,244.1186436235383,961.8395753403225,35.05871832127332,-223.27928565790407,0.0,0.0
2043-44,2043,467.1006111959164,252.86072646367148,96.09920171133813,272.13,2.1067155687097174,1869.0334833537433,0.6952518730919941,239.63069541195853,4.732947889698903,124.32953486178106,118.6,136.4,5884.523672878968,2831.761296180394,2.584703082491822,-34.0,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-95.0,1271.5136992825187,-229.48972506146262,139.63264241872,1181.656616639776,1175.756616639776,Strategic Grid,719.9613376595878,244.36364330165742,964.3249809612453,35.05871832127343,-229.48972506146262,0.0,0.0
2044-45,2044,474.51474585648174,247.80362336026946,95.48015211938717,272.13,2.106621641558096,1899.9959565256145,0.7020605263403521,239.22761920747982,4.732947889698903,124.14363786304689,118.6,136.5,5912.181270052472,2850.121139938404,2.579065581327968,-34.5,1428.8163127490143,0.0,124.05969610923822,37.426549384266835,-95.0,1273.4676546352034,-235.05135737194018,142.74031937651284,1181.156616639776,1175.256616639776,Strategic Grid,722.3183692167512,243.9605670971787,966.2789363139299,35.058718321273545,-235.05135737194018,0.0,0.0
