sheet,line,data_requirement,units,financial_year,year_start,value
Table 2,1,Deployable output (supply) forecast,Ml/d,2020-21,2020,1457.5003124364475
Table 2,1,Deployable output (supply) forecast,Ml/d,2021-22,2021,1447.50031243645
Table 2,1,Deployable output (supply) forecast,Ml/d,2022-23,2022,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2023-24,2023,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2024-25,2024,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2025-26,2025,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2026-27,2026,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2027-28,2027,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2028-29,2028,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2029-2030,2029,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2030-2031,2030,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2031-2032,2031,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2032-33,2032,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2033-34,2033,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2034-35,2034,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2035-36,2035,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2036-37,2036,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2037-38,2037,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2038-39,2038,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2039-40,2039,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2040-41,2040,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2041-42,2041,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2042-43,2042,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2043-44,2043,1428.8163127490143
Table 2,1,Deployable output (supply) forecast,Ml/d,2044-45,2044,1428.8163127490143
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2020-21,2020,0.0
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2021-22,2021,0.0
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2022-23,2022,-12.0
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2023-24,2023,-14.0
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2024-25,2024,-16.0
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2025-26,2025,-18.0
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2026-27,2026,-20.0
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2027-28,2027,-22.0
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2028-29,2028,-24.0
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2029-2030,2029,-26.0
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2030-2031,2030,-27.5
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2031-2032,2031,-28.0
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2032-33,2032,-28.5
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2033-34,2033,-29.0
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2034-35,2034,-29.5
Table 2,2,Change in deployable output (supply) forecast due to climate change,Ml/d,2035-36,2035,-30.0
