sheet,line,data_requirement,units,financial_year,year_start,value
Table 3,1,Measured (metered) non household – consumption,Ml/d,2020-21,2020,178.63009817655984
Table 3,1,Measured (metered) non household – consumption,Ml/d,2021-22,2021,209.69570993492985
Table 3,1,Measured (metered) non household – consumption,Ml/d,2022-23,2022,234.53635377957315
Table 3,1,Measured (metered) non household – consumption,Ml/d,2023-24,2023,235.24731654386594
Table 3,1,Measured (metered) non household – consumption,Ml/d,2024-25,2024,235.1241940564701
Table 3,1,Measured (metered) non household – consumption,Ml/d,2025-26,2025,236.01320337133996
Table 3,1,Measured (metered) non household – consumption,Ml/d,2026-27,2026,236.20718372528486
Table 3,1,Measured (metered) non household – consumption,Ml/d,2027-28,2027,236.3979445959353
Table 3,1,Measured (metered) non household – consumption,Ml/d,2028-29,2028,235.9405150066552
Table 3,1,Measured (metered) non household – consumption,Ml/d,2029-2030,2029,236.76500350591965
Table 3,1,Measured (metered) non household – consumption,Ml/d,2030-2031,2030,236.9956090730021
Table 3,1,Measured (metered) non household – consumption,Ml/d,2031-2032,2031,237.241984056231
Table 3,1,Measured (metered) non household – consumption,Ml/d,2032-33,2032,236.8192093273845
Table 3,1,Measured (metered) non household – consumption,Ml/d,2033-34,2033,237.65395842938446
Table 3,1,Measured (metered) non household – consumption,Ml/d,2034-35,2034,237.81379440373263
Table 3,1,Measured (metered) non household – consumption,Ml/d,2035-36,2035,237.97023983361672
Table 3,1,Measured (metered) non household – consumption,Ml/d,2036-37,2036,237.46415878709402
Table 3,1,Measured (metered) non household – consumption,Ml/d,2037-38,2037,238.29569833884835
Table 3,1,Measured (metered) non household – consumption,Ml/d,2038-39,2038,238.4944689972674
Table 3,1,Measured (metered) non household – consumption,Ml/d,2039-40,2039,238.70249876126823
Table 3,1,Measured (metered) non household – consumption,Ml/d,2040-41,2040,238.26621402237083
Table 3,1,Measured (metered) non household – consumption,Ml/d,2041-42,2041,239.1480341523839
Table 3,1,Measured (metered) non household – consumption,Ml/d,2042-43,2042,239.3856957338394
Table 3,1,Measured (metered) non household – consumption,Ml/d,2043-44,2043,239.63069541195853
Table 3,1,Measured (metered) non household – consumption,Ml/d,2044-45,2044,239.22761920747982
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2020-21,2020,1.0187867859152797
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2021-22,2021,1.100584480100717
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2022-23,2022,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2023-24,2023,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2024-25,2024,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2025-26,2025,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2026-27,2026,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2027-28,2027,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2028-29,2028,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2029-2030,2029,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2030-2031,2030,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2031-2032,2031,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2032-33,2032,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2033-34,2033,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2034-35,2034,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2035-36,2035,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2036-37,2036,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2037-38,2037,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2038-39,2038,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2039-40,2039,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2040-41,2040,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2041-42,2041,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2042-43,2042,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2043-44,2043,4.732947889698903
Table 3,2,Unmeasured (unmetered) non household – consumption,Ml/d,2044-45,2044,4.732947889698903
Table 3,3,Measured (metered) household – consumption,Ml/d,2020-21,2020,293.2714825526864
Table 3,3,Measured (metered) household – consumption,Ml/d,2021-22,2021,288.9505801353781
