sheet,line,data_requirement,units,financial_year,year_start,value
Table 3,3,Measured (metered) household – consumption,Ml/d,2022-23,2022,300.720949170895
Table 3,3,Measured (metered) household – consumption,Ml/d,2023-24,2023,310.17110288111076
Table 3,3,Measured (metered) household – consumption,Ml/d,2024-25,2024,319.58053494448836
Table 3,3,Measured (metered) household – consumption,Ml/d,2025-26,2025,328.7344812235517
Table 3,3,Measured (metered) household – consumption,Ml/d,2026-27,2026,337.8676919866098
Table 3,3,Measured (metered) household – consumption,Ml/d,2027-28,2027,346.8538797079624
Table 3,3,Measured (metered) household – consumption,Ml/d,2028-29,2028,355.86325226189524
Table 3,3,Measured (metered) household – consumption,Ml/d,2029-2030,2029,364.6079558642256
Table 3,3,Measured (metered) household – consumption,Ml/d,2030-2031,2030,372.0926202666675
Table 3,3,Measured (metered) household – consumption,Ml/d,2031-2032,2031,379.70128792050104
Table 3,3,Measured (metered) household – consumption,Ml/d,2032-33,2032,387.1976018727971
Table 3,3,Measured (metered) household – consumption,Ml/d,2033-34,2033,394.5652580864792
Table 3,3,Measured (metered) household – consumption,Ml/d,2034-35,2034,401.8249390163605
Table 3,3,Measured (metered) household – consumption,Ml/d,2035-36,2035,409.3655431428558
Table 3,3,Measured (metered) household – consumption,Ml/d,2036-37,2036,416.89178493818065
Table 3,3,Measured (metered) household – consumption,Ml/d,2037-38,2037,424.3102475067257
Table 3,3,Measured (metered) household – consumption,Ml/d,2038-39,2038,431.59263220416426
Table 3,3,Measured (metered) household – consumption,Ml/d,2039-40,2039,438.8398488781844
Table 3,3,Measured (metered) household – consumption,Ml/d,2040-41,2040,446.00275470022865
Table 3,3,Measured (metered) household – consumption,Ml/d,2041-42,2041,453.0834844689378
Table 3,3,Measured (metered) household – consumption,Ml/d,2042-43,2042,460.1310052707583
Table 3,3,Measured (metered) household – consumption,Ml/d,2043-44,2043,467.1006111959164
Table 3,3,Measured (metered) household – consumption,Ml/d,2044-45,2044,474.51474585648174
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2020-21,2020,462.84536720040404
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2021-22,2021,440.7652302905986
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2022-23,2022,377.3681485678252
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2023-24,2023,369.88794650198764
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2024-25,2024,362.6246871980567
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2025-26,2025,355.70433865376947
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2026-27,2026,348.9891028179515
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2027-28,2027,342.4764923982896
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2028-29,2028,336.1082706572855
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2029-2030,2029,329.9730829644918
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2030-2031,2030,323.6948317264983
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2031-2032,2031,317.375859088901
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2032-33,2032,311.1952989179038
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2033-34,2033,305.13826484368917
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2034-35,2034,299.2063311553167
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2035-36,2035,293.60075459375446
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2036-37,2036,288.1480912486217
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2037-38,2037,282.79571352649924
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2038-39,2038,277.52741680797766
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2039-40,2039,272.3884832938458
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2040-41,2040,267.35111557253725
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2041-42,2041,262.41279640527614
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2042-43,2042,257.5899264460259
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2043-44,2043,252.86072646367148
Table 3,4,Unmeasured (unmetered) household – consumption,Ml/d,2044-45,2044,247.80362336026946
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2020-21,2020,119.58419826592674
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2021-22,2021,114.25688348797978
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2022-23,2022,119.6
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2023-24,2023,119.5
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2024-25,2024,119.5
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2025-26,2025,119.6
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2026-27,2026,119.6
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2027-28,2027,119.8
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2028-29,2028,119.9
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2029-2030,2029,120.1
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2030-2031,2030,119.8
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2031-2032,2031,119.6
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2032-33,2032,119.4
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2033-34,2033,119.2
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2034-35,2034,119.0
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2035-36,2035,119.0
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2036-37,2036,118.9
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2037-38,2037,118.9
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2038-39,2038,118.8
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2039-40,2039,118.8
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2040-41,2040,118.8
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2041-42,2041,118.7
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2042-43,2042,118.7
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2043-44,2043,118.6
Table 3,5,Measured (metered) household – per capita consumption (PCC),l/h/d,2044-45,2044,118.6
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2020-21,2020,148.94551011637424
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2021-22,2021,142.77718403777314
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2022-23,2022,141.5
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2023-24,2023,141.2
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2024-25,2024,140.9
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2025-26,2025,140.5
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2026-27,2026,140.2
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2027-28,2027,139.9
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2028-29,2028,139.6
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2029-2030,2029,139.3
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2030-2031,2030,138.9
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2031-2032,2031,138.6
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2032-33,2032,138.3
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2033-34,2033,138.0
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2034-35,2034,137.7
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2035-36,2035,137.6
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2036-37,2036,137.4
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2037-38,2037,137.3
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2038-39,2038,137.2
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2039-40,2039,137.0
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2040-41,2040,136.9
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2041-42,2041,136.7
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2042-43,2042,136.6
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2043-44,2043,136.4
Table 3,6,Unmeasured (unmetered) household – per capita consumption (PCC),l/h/d,2044-45,2044,136.5
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2020-21,2020,135.9944923771094
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2021-22,2021,129.93422495508386
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2022-23,2022,130.84891417157252
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2023-24,2023,130.39499960245755
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2024-25,2024,129.98676907815624
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2025-26,2025,129.61155245925514
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2026-27,2026,129.27285092617686
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2027-28,2027,128.96807146147947
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2028-29,2028,128.71149747570914
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2029-2030,2029,128.47349881195706
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2030-2031,2030,127.9795621005615
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2031-2032,2031,127.54413412833364
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2032-33,2032,127.12686360934582
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2033-34,2033,126.72922466031216
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2034-35,2034,126.34902258857744
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2035-36,2035,126.09267454612781
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2036-37,2036,125.85709036635232
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2037-38,2037,125.62695358082087
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2038-39,2038,125.40315649629916
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2039-40,2039,125.17715168145195
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2040-41,2040,124.95473009519561
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2041-42,2041,124.73577771992944
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2042-43,2042,124.53149284592456
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2043-44,2043,124.32953486178106
Table 3,7,Average household – per capita consumption (PCC),l/h/d,2044-45,2044,124.14363786304689
Table 3,8,Total leakage (total volume per day),Ml/d,2020-21,2020,286.08219902588684
Table 3,8,Total leakage (total volume per day),Ml/d,2021-22,2021,277.80420474978416
Table 3,8,Total leakage (total volume per day),Ml/d,2022-23,2022,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2023-24,2023,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2024-25,2024,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2025-26,2025,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2026-27,2026,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2027-28,2027,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2028-29,2028,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2029-2030,2029,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2030-2031,2030,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2031-2032,2031,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2032-33,2032,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2033-34,2033,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2034-35,2034,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2035-36,2035,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2036-37,2036,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2037-38,2037,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2038-39,2038,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2039-40,2039,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2040-41,2040,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2041-42,2041,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2042-43,2042,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2043-44,2043,272.13
Table 3,8,Total leakage (total volume per day),Ml/d,2044-45,2044,272.13
Table 3,9,Total leakage (flow per property),l/prop/day,2020-21,2020,119.73414022623871
Table 3,9,Total leakage (flow per property),l/prop/day,2021-22,2021,116.06906346612524
Table 3,9,Total leakage (flow per property),l/prop/day,2022-23,2022,111.02966300082987
Table 3,9,Total leakage (flow per property),l/prop/day,2023-24,2023,110.13134847515396
Table 3,9,Total leakage (flow per property),l/prop/day,2024-25,2024,109.25698843372982
Table 3,9,Total leakage (flow per property),l/prop/day,2025-26,2025,108.46706685547254
Table 3,9,Total leakage (flow per property),l/prop/day,2026-27,2026,107.69970344674229
Table 3,9,Total leakage (flow per property),l/prop/day,2027-28,2027,106.97566588705881
Table 3,9,Total leakage (flow per property),l/prop/day,2028-29,2028,106.25801089174769
Table 3,9,Total leakage (flow per property),l/prop/day,2029-2030,2029,105.6098502620732
Table 3,9,Total leakage (flow per property),l/prop/day,2030-2031,2030,104.93872793181104
Table 3,9,Total leakage (flow per property),l/prop/day,2031-2032,2031,104.20274707958525
Table 3,9,Total leakage (flow per property),l/prop/day,2032-33,2032,103.47701713091735
Table 3,9,Total leakage (flow per property),l/prop/day,2033-34,2033,102.76132540474923
Table 3,9,Total leakage (flow per property),l/prop/day,2034-35,2034,102.05401069772057
Table 3,9,Total leakage (flow per property),l/prop/day,2035-36,2035,101.35636577303893
Table 3,9,Total leakage (flow per property),l/prop/day,2036-37,2036,100.66798032311587
Table 3,9,Total leakage (flow per property),l/prop/day,2037-38,2037,99.98888181278575
Table 3,9,Total leakage (flow per property),l/prop/day,2038-39,2038,99.31888357022459
Table 3,9,Total leakage (flow per property),l/prop/day,2039-40,2039,98.65780389321036
Table 3,9,Total leakage (flow per property),l/prop/day,2040-41,2040,98.00546588484056
Table 3,9,Total leakage (flow per property),l/prop/day,2041-42,2041,97.36169729572258
Table 3,9,Total leakage (flow per property),l/prop/day,2042-43,2042,96.72633037234371
Table 3,9,Total leakage (flow per property),l/prop/day,2043-44,2043,96.09920171133813
Table 3,9,Total leakage (flow per property),l/prop/day,2044-45,2044,95.48015211938717
Table 3,10,Measured (metered) properties (excl voids),000s,2020-21,2020,1034.4383369736977
Table 3,10,Measured (metered) properties (excl voids),000s,2021-22,2021,1066.8334219112235
Table 3,10,Measured (metered) properties (excl voids),000s,2022-23,2022,1158.1614476669147
Table 3,10,Measured (metered) properties (excl voids),000s,2023-24,2023,1197.1358536665373
Table 3,10,Measured (metered) properties (excl voids),000s,2024-25,2024,1235.5218396926846
Table 3,10,Measured (metered) properties (excl voids),000s,2025-26,2025,1271.9118771519943
Table 3,10,Measured (metered) properties (excl voids),000s,2026-27,2026,1307.6830565059454
Table 3,10,Measured (metered) properties (excl voids),000s,2027-28,2027,1342.3339022026948
Table 3,10,Measured (metered) properties (excl voids),000s,2028-29,2028,1376.7228416440194
Table 3,10,Measured (metered) properties (excl voids),000s,2029-2030,2029,1409.3188558929207
Table 3,10,Measured (metered) properties (excl voids),000s,2030-2031,2030,1442.3470776704698
Table 3,10,Measured (metered) properties (excl voids),000s,2031-2032,2031,1476.886854379155
Table 3,10,Measured (metered) properties (excl voids),000s,2032-33,2032,1511.1128972667454
Table 3,10,Measured (metered) properties (excl voids),000s,2033-34,2033,1545.0311982831308
Table 3,10,Measured (metered) properties (excl voids),000s,2034-35,2034,1578.68624609138
Table 3,10,Measured (metered) properties (excl voids),000s,2035-36,2035,1612.0460719099717
Table 3,10,Measured (metered) properties (excl voids),000s,2036-37,2036,1645.1222790863978
Table 3,10,Measured (metered) properties (excl voids),000s,2037-38,2037,1677.9150147717762
Table 3,10,Measured (metered) properties (excl voids),000s,2038-39,2038,1710.43010982442
Table 3,10,Measured (metered) properties (excl voids),000s,2039-40,2039,1742.6733664325736
Table 3,10,Measured (metered) properties (excl voids),000s,2040-41,2040,1774.6499168641117
Table 3,10,Measured (metered) properties (excl voids),000s,2041-42,2041,1806.3655098642682
Table 3,10,Measured (metered) properties (excl voids),000s,2042-43,2042,1837.8252267204348
Table 3,10,Measured (metered) properties (excl voids),000s,2043-44,2043,1869.0334833537433
Table 3,10,Measured (metered) properties (excl voids),000s,2044-45,2044,1899.9959565256145
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2020-21,2020,2389.311841095046
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2021-22,2021,2393.4388410987854
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2022-23,2022,2450.966639410281
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2023-24,2023,2470.958575989774
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2024-25,2024,2490.733122898233
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2025-26,2025,2508.872120259331
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2026-27,2026,2526.747904506244
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2027-28,2027,2543.849554414603
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2028-29,2028,2561.0304363521113
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2029-2030,2029,2576.748279868813
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2030-2031,2030,2593.2275468102634
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2031-2032,2031,2611.5434345714484
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2032-33,2032,2629.8593402214697
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2033-34,2033,2648.175263681673
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2034-35,2034,2666.529204874044
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2035-36,2035,2684.883163721201
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2036-37,2036,2703.2428695454037
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2037-38,2037,2721.6025928715035
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2038-39,2038,2739.962333623971
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2039-40,2039,2758.3220917278904
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2040-41,2040,2776.6818671089336
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2041-42,2041,2795.0416596933705
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2042-43,2042,2813.401469408047
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2043-44,2043,2831.761296180394
Table 3,11,Total properties – measured and unmeasured (incl. voids),000s,2044-45,2044,2850.121139938404
Table 3,12,Total population,000s,2020-21,2020,5776.8140616388955
Table 3,12,Total population,000s,2021-22,2021,5709.813043939368
Table 3,12,Total population,000s,2022-23,2022,5276.002459310545
Table 3,12,Total population,000s,2023-24,2023,5309.149751075058
Table 3,12,Total population,000s,2024-25,2024,5342.039627293122
Table 3,12,Total population,000s,2025-26,2025,5374.4660160988715
Table 3,12,Total population,000s,2026-27,2026,5407.006133512317
Table 3,12,Total population,000s,2027-28,2027,5438.742218308759
Table 3,12,Total population,000s,2028-29,2028,5469.91682934028
Table 3,12,Total population,000s,2029-2030,2029,5500.187904643919
Table 3,12,Total population,000s,2030-2031,2030,5530.480553714258
Table 3,12,Total population,000s,2031-2032,2031,5559.15289985498
Table 3,12,Total population,000s,2032-33,2032,5587.441930091958
Table 3,12,Total population,000s,2033-34,2033,5615.021352979902
Table 3,12,Total population,000s,2034-35,2034,5642.144137419895
Table 3,12,Total population,000s,2035-36,2035,5668.770122290779
Table 3,12,Total population,000s,2036-37,2036,5695.681276558198
Table 3,12,Total population,000s,2037-38,2037,5722.38963741862
Table 3,12,Total population,000s,2038-39,2038,5748.495487253094
Table 3,12,Total population,000s,2039-40,2039,5775.547370309593
Table 3,12,Total population,000s,2040-41,2040,5802.671492512479
Table 3,12,Total population,000s,2041-42,2041,5829.868079959539
Table 3,12,Total population,000s,2042-43,2042,5857.141890187303
Table 3,12,Total population,000s,2043-44,2043,5884.523672878968
Table 3,12,Total population,000s,2044-45,2044,5912.181270052472
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2020-21,2020,2.3707809616323723
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2021-22,2021,2.370525240910691
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2022-23,2022,2.1719065537237436
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2023-24,2023,2.167878691539847
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2024-25,2024,2.164075559192505
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2025-26,2025,2.161568093907124
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2026-27,2026,2.1594423878054423
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2027-28,2027,2.157731838925487
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2028-29,2028,2.155830574618583
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2029-2030,2029,2.154848406056683
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2030-2031,2030,2.153343601810951
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2031-2032,2031,2.149808460895751
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2032-33,2032,2.146222012496541
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2033-34,2033,2.142455491172226
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2034-35,2034,2.1385771141132035
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2035-36,2035,2.134600805429013
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2036-37,2036,2.130819084866124
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2037-38,2037,2.127045986566612
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2038-39,2038,2.1231292634400867
