scenario_name,financial_year,scenario_population_000,scenario_pcc_lhd,scenario_household_consumption_ml_d,scenario_non_household_consumption_ml_d,scenario_leakage_ml_d,scenario_distribution_input_ml_d,demand_change_vs_baseline_ml_d,demand_change_vs_baseline_pct,scenario_sdb_ml_d,sdb_improvement_vs_baseline_ml_d,deficit_flag
Combined Efficiency,2044-45,5912.181270052472,110.0,640.024909705772,219.56451038746084,217.704,1112.3521384145063,-161.11551622069715,-0.12651716408678645,-73.93584115124304,161.11551622069712,Deficit
Growth plus Efficiency,2044-45,6089.546708154046,110.0,659.2256569969452,219.56451038746084,217.704,1131.5528857056795,-141.91476892952392,-0.11143963367501211,-93.13658844241627,141.9147689295239,Deficit
PCC 110,2044-45,5912.181270052472,110.0,640.024909705772,243.9605670971787,272.13,1191.174195124224,-82.29345951097935,-0.06462155454945816,-152.75789786096084,82.29345951097932,Deficit
Non-Household Efficiency,2044-45,5912.181270052472,124.14363786304688,722.3183692167512,219.56451038746084,272.13,1249.0715979254855,-24.396056709717868,-0.01915718598813281,-210.65530066222232,24.39605670971784,Deficit
Published Baseline,2044-45,5912.181270052472,124.14363786304688,722.3183692167512,243.9605670971787,272.13,1273.4676546352034,0.0,0.0,-235.05135737194018,-2.842170943040401e-14,Deficit
Higher Population Stress,2044-45,6089.546708154046,124.14363786304688,743.9879202932538,243.9605670971787,272.13,1295.137205711706,21.669551076502557,0.01701617704825805,-256.72090844844274,-21.669551076502586,Deficit
