financial_year,year_start,hh_metered_ml_d,hh_unmetered_ml_d,leakage_l_prop_d,leakage_ml_d,metered_occupancy_h_prop,metered_properties_000,metering_penetration,nhh_metered_ml_d,nhh_unmetered_ml_d,pcc_avg_lhd,pcc_metered_lhd,pcc_unmetered_lhd,population_000,total_properties_000,unmetered_occupancy_h_prop,climate_change_supply_impact_ml_d,deployable_output_ml_d,other_supply_change_ml_d,outage_allowance_ml_d,raw_treatment_losses_ml_d,sustainability_reduction_ml_d,distribution_input_ml_d,published_sdb_ml_d,target_headroom_ml_d,total_wafu_ml_d,wafu_own_sources_ml_d,wrz,household_consumption_ml_d,non_household_consumption_ml_d,customer_consumption_ml_d,residual_other_demand_ml_d,calculated_sdb_ml_d,sdb_reconciliation_error_ml_d,di_reconciliation_error_ml_d,scenario_name,scenario_description,ramp_factor,scenario_population_000,scenario_pcc_lhd,scenario_household_consumption_ml_d,scenario_non_household_consumption_ml_d,scenario_leakage_ml_d,scenario_residual_other_demand_ml_d,scenario_distribution_input_ml_d,demand_change_vs_baseline_ml_d,demand_change_vs_baseline_pct,scenario_sdb_ml_d,sdb_improvement_vs_baseline_ml_d,deficit_flag
2030-2031,2030,372.0926202666675,323.6948317264983,104.93872793181104,272.13,2.153343601810951,1442.3470776704698,0.5877483372212411,236.9956090730021,4.732947889698903,127.9795621005615,119.8,138.9,5530.480553714258,2593.2275468102634,2.5629832721584265,-27.5,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-90.0,1244.7047272771404,-232.3832625777033,180.83515194033905,1193.156616639776,1187.256616639776,Strategic Grid,695.7874519931659,241.728556962701,937.5160089558668,35.058718321273545,-232.3832625777033,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.2631578947368421,5530.480553714258,127.9795621005615,695.7874519931659,241.728556962701,272.13,35.058718321273545,1244.7047272771404,0.0,0.0,-232.38326257770333,-2.842170943040401e-14,Deficit
2031-2032,2031,379.701287920501,317.375859088901,104.20274707958524,272.13,2.149808460895751,1476.886854379155,0.5974439975154033,237.241984056231,4.732947889698903,127.54413412833364,119.6,138.6,5559.15289985498,2611.5434345714484,2.565157164452423,-28.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-90.0,1246.2407972766057,-233.6299448326909,180.04576419586152,1192.656616639776,1186.756616639776,Strategic Grid,697.0771470094021,241.97493194592988,939.052078955332,35.05871832127343,-233.6299448326909,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.3157894736842105,5559.15289985498,127.54413412833364,697.0771470094021,241.97493194592988,272.13,35.05871832127343,1246.2407972766055,-2.2737367544323206e-13,-1.824476264459556e-16,-233.6299448326909,0.0,Deficit
2032-33,2032,387.1976018727971,311.1952989179038,103.47701713091736,272.13,2.146222012496541,1511.1128972667454,0.6068735803943206,236.8192093273845,4.732947889698903,127.12686360934582,119.4,138.3,5587.441930091958,2629.8593402214697,2.567192216313054,-28.5,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-90.0,1247.1337763290578,-238.9285794277248,183.95141973844304,1192.156616639776,1186.256616639776,Strategic Grid,698.3929007907009,241.5521572170834,939.9450580077844,35.058718321273545,-238.9285794277248,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.3684210526315789,5587.441930091958,127.12686360934582,698.3929007907009,241.5521572170834,272.13,35.058718321273545,1247.1337763290578,0.0,0.0,-238.92857942772477,2.842170943040401e-14,Deficit
2033-34,2033,394.5652580864792,305.1382648436892,102.76132540474924,272.13,2.142455491172226,1545.0311982831308,0.6160451999505575,237.6539584293845,4.732947889698903,126.72922466031216,119.2,138.0,5615.021352979902,2648.175263681673,2.568935557382824,-29.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-90.0,1249.2791475705253,-244.1278312952917,186.50530036454248,1191.656616639776,1185.756616639776,Strategic Grid,699.7035229301684,242.38690631908332,942.0904292492518,35.058718321273545,-244.1278312952917,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.42105263157894735,5615.021352979902,126.72922466031216,699.7035229301684,242.38690631908332,272.13,35.058718321273545,1249.2791475705253,0.0,0.0,-244.1278312952917,0.0,Deficit
2034-35,2034,401.8249390163605,299.2063311553167,102.05401069772056,272.13,2.1385771141132035,1578.68624609138,0.6249725776067047,237.81379440373263,4.732947889698903,126.34902258857744,119.0,137.7,5642.144137419895,2666.529204874044,2.5704654165716803,-29.5,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-90.0,1250.766730786382,-251.05254563055468,191.4424314839486,1191.156616639776,1185.256616639776,Strategic Grid,701.0312701716772,242.54674229343152,943.5780124651088,35.05871832127343,-251.05254563055468,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.47368421052631576,5642.144137419895,126.34902258857744,701.0312701716772,242.54674229343152,272.13,35.05871832127343,1250.7667307863821,2.2737367544323206e-13,1.8178743473635385e-16,-251.05254563055468,0.0,Deficit
2035-36,2035,409.3655431428558,293.60075459375446,101.35636577303892,272.13,2.134600805429013,1612.0460719099715,0.6336574036039068,237.97023983361672,4.732947889698903,126.0926745461278,119.0,137.6,5668.770122290779,2684.883163721201,2.571803465333507,-30.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-95.0,1252.8582037811996,-223.55573274185653,156.35414560043304,1185.656616639776,1179.756616639776,Strategic Grid,702.9662977366103,242.7031877233156,945.669485459926,35.05871832127366,-223.55573274185653,0.0,2.273736754432321e-13,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.5263157894736842,5668.770122290779,126.0926745461278,702.9662977366103,242.7031877233156,272.13,35.05871832127366,1252.8582037811998,2.2737367544323206e-13,1.814839658286987e-16,-223.55573274185676,-2.2737367544323206e-13,Deficit
2036-37,2036,416.8917849381807,288.1480912486217,100.66798032311588,272.13,2.130819084866124,1645.1222790863978,0.6421078903473281,237.464158787094,4.732947889698903,125.85709036635232,118.9,137.4,5695.681276558198,2703.242869545404,2.573302475518977,-30.5,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-95.0,1254.4257011848688,-226.71838642001333,157.44930187492062,1185.156616639776,1179.256616639776,Strategic Grid,705.0398761868023,242.1971066767929,947.2369828635952,35.058718321273545,-226.71838642001333,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.5789473684210527,5695.681276558198,125.85709036635232,705.0398761868023,242.1971066767929,272.13,35.058718321273545,1254.4257011848688,0.0,0.0,-226.71838642001333,0.0,Deficit
2037-38,2037,424.3102475067257,282.79571352649924,99.98888181278576,272.13,2.127045986566612,1677.9150147717762,0.6503303957461941,238.29569833884835,4.732947889698903,125.62695358082088,118.9,137.3,5722.38963741862,2721.6025928715035,2.574740338461837,-31.000000000000004,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-95.0,1257.3233255830455,-235.0376416838561,162.37093274058645,1184.656616639776,1178.756616639776,Strategic Grid,707.105961033225,243.02864622854725,950.1346072617722,35.058718321273545,-235.0376416838561,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.631578947368421,5722.38963741862,125.62695358082088,707.105961033225,243.02864622854725,272.13,35.058718321273545,1257.3233255830457,2.2737367544323206e-13,1.8083946333994433e-16,-235.03764168385612,-2.842170943040401e-14,Deficit
2038-39,2038,431.59263220416426,277.52741680797766,99.3188835702246,272.13,2.1231292634400867,1710.43010982442,0.6583319106389864,238.4944689972674,4.732947889698903,125.40315649629916,118.8,137.2,5748.495487253094,2739.962333623971,2.575932882785948,-31.5,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-95.0,1259.5361842203815,-236.3302403981233,160.9506728175178,1184.156616639776,1178.256616639776,Strategic Grid,709.1200490121419,243.2274168869663,952.347465899108,35.05871832127343,-236.3302403981233,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.6842105263157895,5748.495487253094,125.40315649629916,709.1200490121419,243.2274168869663,272.13,35.05871832127343,1259.5361842203815,0.0,0.0,-236.33024039812327,2.842170943040401e-14,Deficit
2039-40,2039,438.8398488781844,272.3884832938458,98.65780389321036,272.13,2.1196475297244155,1742.6733664325736,0.6661192221766897,238.70249876126823,4.732947889698903,125.17715168145196,118.8,137.0,5775.547370309593,2758.3220917278904,2.577582825428657,-32.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-95.0,1261.8524971442707,-244.5031460532373,166.30726554874263,1183.656616639776,1177.756616639776,Strategic Grid,711.2283321720302,243.43544665096712,954.6637788229972,35.05871832127343,-244.5031460532373,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.7368421052631579,5775.547370309593,125.17715168145196,711.2283321720302,243.43544665096712,272.13,35.05871832127343,1261.8524971442707,0.0,0.0,-244.5031460532373,0.0,Deficit
